INPUT:
start: 2010-01-01
factor: ['pb']
weightType: 1
factor_direction: [1]
end: 2011 -01-01
n: 10
path: D:\strategy\GDP\GD.db
hedgemethod: 1
industry_neutral: 0
backperiod: 20
positionType: 2

OUTPUT:
	time	stkcd	weight
1	2010-02-23	600875	0.07860323512278297
2	2010-02-23	000568	0.11431606400087756
3	2010-02-23	002038	0.12231706666621016
4	2010-02-23	600161	0.09627767147626227
5	2010-02-23	601099	0.10702944949945309
6	2010-02-23	600812	0.11078130737535413
7	2010-02-23	600547	0.07860521023252096
8	2010-02-23	002007	0.09707259309407609
9	2010-02-23	600816	0.12258808853570556
0	2010-02-24	600276	0.07240931399675707
1	2010-02-24	600875	0.07860323512278297
2	2010-02-24	000568	0.11431606400087756
3	2010-02-24	002038	0.12231706666621016
4	2010-02-24	600161	0.09627767147626227
5	2010-02-24	601099	0.10702944949945309
6	2010-02-24	600812	0.11078130737535413
7	2010-02-24	600547	0.07860521023252096
8	2010-02-24	002007	0.09707259309407609
9	2010-02-24	600816	0.12258808853570556
0	2010-02-25	600276	0.07240931399675707
1	2010-02-25	600875	0.07860323512278297
2	2010-02-25	000568	0.11431606400087756
3	2010-02-25	002038	0.12231706666621016
4	2010-02-25	600161	0.09627767147626227
5	2010-02-25	601099	0.10702944949945309
6	2010-02-25	600812	0.11078130737535413
7	2010-02-25	600547	0.07860521023252096
8	2010-02-25	002007	0.09707259309407609
9	2010-02-25	600816	0.12258808853570556
0	2010-02-26	600276	0.07240931399675707
1	2010-02-26	600875	0.07860323512278297
2	2010-02-26	000568	0.11431606400087756
3	2010-02-26	002038	0.12231706666621016
4	2010-02-26	600161	0.09627767147626227
5	2010-02-26	601099	0.10702944949945309
6	2010-02-26	600812	0.11078130737535413
7	2010-02-26	600547	0.07860521023252096
8	2010-02-26	002007	0.09707259309407609
9	2010-02-26	600816	0.12258808853570556
0	2010-03-01	600276	0.07240931399675707
1	2010-03-01	600875	0.07860323512278297
2	2010-03-01	000568	0.11431606400087756
3	2010-03-01	002038	0.12231706666621016
4	2010-03-01	600161	0.09627767147626227
5	2010-03-01	601099	0.10702944949945309
6	2010-03-01	600812	0.11078130737535413
7	2010-03-01	600547	0.07860521023252096
8	2010-03-01	002007	0.09707259309407609
9	2010-03-01	600816	0.12258808853570556
1	2010-03-02	000568	0.08789971781297116
8	2010-03-02	002007	0.1016732604097906
3	2010-03-02	002038	0.10122791346471674
4	2010-03-02	600161	0.09855929031833673
0	2010-03-02	600251	0.07991761168089172
6	2010-03-02	600547	0.12739545878389558
7	2010-03-02	600812	0.11488953215236274
9	2010-03-02	600816	0.11151721621215338
2	2010-03-02	600875	0.08147334324291915
5	2010-03-02	601099	0.09544665592196223
0	2010-03-03	600251	0.07991761168089172
1	2010-03-03	000568	0.08789971781297116
2	2010-03-03	600875	0.08147334324291915
3	2010-03-03	002038	0.10122791346471674
4	2010-03-03	600161	0.09855929031833673
5	2010-03-03	601099	0.09544665592196223
6	2010-03-03	600547	0.12739545878389558
7	2010-03-03	600812	0.11488953215236274
8	2010-03-03	002007	0.1016732604097906
9	2010-03-03	600816	0.11151721621215338
0	2010-03-04	600251	0.07991761168089172
1	2010-03-04	000568	0.08789971781297116
2	2010-03-04	600875	0.08147334324291915
3	2010-03-04	002038	0.10122791346471674
4	2010-03-04	600161	0.09855929031833673
5	2010-03-04	601099	0.09544665592196223
6	2010-03-04	600547	0.12739545878389558
7	2010-03-04	600812	0.11488953215236274
8	2010-03-04	002007	0.1016732604097906
9	2010-03-04	600816	0.11151721621215338
0	2010-03-05	600251	0.07991761168089172
1	2010-03-05	000568	0.08789971781297116
2	2010-03-05	600875	0.08147334324291915
3	2010-03-05	002038	0.10122791346471674
4	2010-03-05	600161	0.09855929031833673
5	2010-03-05	601099	0.09544665592196223
6	2010-03-05	600547	0.12739545878389558
7	2010-03-05	600812	0.11488953215236274
8	2010-03-05	002007	0.1016732604097906
9	2010-03-05	600816	0.11151721621215338
0	2010-03-08	600251	0.07991761168089172
1	2010-03-08	000568	0.08789971781297116
2	2010-03-08	600875	0.08147334324291915
3	2010-03-08	002038	0.10122791346471674
4	2010-03-08	600161	0.09855929031833673
5	2010-03-08	601099	0.09544665592196223
6	2010-03-08	600547	0.12739545878389558
7	2010-03-08	600812	0.11488953215236274
8	2010-03-08	002007	0.1016732604097906
9	2010-03-08	600816	0.11151721621215338
0	2010-03-09	600251	0.07991761168089172
1	2010-03-09	000568	0.08789971781297116
2	2010-03-09	600875	0.08147334324291915
3	2010-03-09	002038	0.10122791346471674
4	2010-03-09	600161	0.09855929031833673
5	2010-03-09	601099	0.09544665592196223
6	2010-03-09	600547	0.12739545878389558
7	2010-03-09	600812	0.11488953215236274
8	2010-03-09	002007	0.1016732604097906
9	2010-03-09	600816	0.11151721621215338
0	2010-03-10	600251	0.07991761168089172
1	2010-03-10	000568	0.08789971781297116
2	2010-03-10	600875	0.08147334324291915
3	2010-03-10	002038	0.10122791346471674
4	2010-03-10	600161	0.09855929031833673
5	2010-03-10	601099	0.09544665592196223
6	2010-03-10	600547	0.12739545878389558
7	2010-03-10	600812	0.11488953215236274
8	2010-03-10	002007	0.1016732604097906
9	2010-03-10	600816	0.11151721621215338
0	2010-03-11	600251	0.07991761168089172
1	2010-03-11	000568	0.08789971781297116
2	2010-03-11	600875	0.08147334324291915
3	2010-03-11	002038	0.10122791346471674
4	2010-03-11	600161	0.09855929031833673
5	2010-03-11	601099	0.09544665592196223
6	2010-03-11	600547	0.12739545878389558
7	2010-03-11	600812	0.11488953215236274
8	2010-03-11	002007	0.1016732604097906
9	2010-03-11	600816	0.11151721621215338
0	2010-03-12	600251	0.07991761168089172
1	2010-03-12	000568	0.08789971781297116
2	2010-03-12	600875	0.08147334324291915
3	2010-03-12	002038	0.10122791346471674
4	2010-03-12	600161	0.09855929031833673
5	2010-03-12	601099	0.09544665592196223
6	2010-03-12	600547	0.12739545878389558
7	2010-03-12	600812	0.11488953215236274
8	2010-03-12	002007	0.1016732604097906
9	2010-03-12	600816	0.11151721621215338
0	2010-03-15	600251	0.07991761168089172
1	2010-03-15	000568	0.08789971781297116
2	2010-03-15	600875	0.08147334324291915
3	2010-03-15	002038	0.10122791346471674
4	2010-03-15	600161	0.09855929031833673
5	2010-03-15	601099	0.09544665592196223
6	2010-03-15	600547	0.12739545878389558
7	2010-03-15	600812	0.11488953215236274
8	2010-03-15	002007	0.1016732604097906
9	2010-03-15	600816	0.11151721621215338
0	2010-03-16	600251	0.07991761168089172
1	2010-03-16	000568	0.08789971781297116
2	2010-03-16	600875	0.08147334324291915
3	2010-03-16	002038	0.10122791346471674
4	2010-03-16	600161	0.09855929031833673
5	2010-03-16	601099	0.09544665592196223
6	2010-03-16	600547	0.12739545878389558
7	2010-03-16	600812	0.11488953215236274
8	2010-03-16	002007	0.1016732604097906
9	2010-03-16	600816	0.11151721621215338
0	2010-03-17	600251	0.07991761168089172
1	2010-03-17	000568	0.08789971781297116
2	2010-03-17	600875	0.08147334324291915
3	2010-03-17	002038	0.10122791346471674
4	2010-03-17	600161	0.09855929031833673
5	2010-03-17	601099	0.09544665592196223
6	2010-03-17	600547	0.12739545878389558
7	2010-03-17	600812	0.11488953215236274
8	2010-03-17	002007	0.1016732604097906
